Task ID,Task Name,Description,Work Date,Deadline,Priority,Status,Creation Time,Tags,Time to Complete,Completion Time
31eea757-970d-4579-a5bd-72352b23db21,study for database exam,,2024-10-27,,,uncompleted,2024-10-27 20:38:27,,,
08f38678-cdf5-46a2-81d0-a2d227b18eca,work on leaplist csv,,2024-10-27,2024-10-2027,high,uncompleted,2024-10-27 20:39:09,CMSC447,,
32d39987-eef6-4406-8d9b-34d1455638f3,laundry,,2024-10-30,,low,uncompleted,2024-10-27 20:39:59,household,,
8086b859-93e2-43f2-b076-cf2bca35b02b,halloween,give out candy,2024-10-31,,,uncompleted,2024-10-27 20:40:51,event,,
3ad69e53-1008-4338-b538-424d5e92cdc1,ad,ad,1,2,3,uncompleted,2024-11-06 21:31:08,ad,,
8d23dcb4-6ff9-4be8-8a12-1d6ea937e4fa,something,something,1,2,3,uncompleted,2024-11-07 19:01:34,something,,
e4fb8a44-7b4a-448b-a080-cd7fc4a02ec5,that is added,that is added,1,2,3,uncompleted,2024-11-07 19:01:39,that is added,,
6b55a8b6-4479-475b-8653-54017e404e54,test1,test1,1,2,3,uncompleted,2024-11-07 19:04:15,test1,,
1624f2ba-509e-45b8-81a1-001f2035d441,Do 441 homework,,2024-11-09,2024-11-11,,uncompleted,2024-11-09 20:41:27,,,
4969db14-6894-4347-9539-05184d06c613,Do 441 homework,,2024-11-09,2024-11-11,,uncompleted,2024-11-09 20:46:19,,,
32b9a290-cc68-4d1a-847d-551e01492e04,dvdfvdfv,,2024-11-09,2024-11-09,,uncompleted,2024-11-09 20:56:27,,,
e3be21fc-7c93-4739-9677-fccebd7c57aa,wow,,2024-11-09,2024-11-09,,uncompleted,2024-11-09 21:01:07,,,
